procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 3591648  44516 2465948    0    0   739    13  275  424 13  9 77  1  0
 7  0      0 3561504  44516 2466020    0    0     0     0 4377 6426 57 19 24  0  0
 8  0      0 3560300  44524 2466012    0    0     0    84 4756 7739 60 19 21  0  0
12  0      0 3559348  44524 2466020    0    0     0     0 5213 7942 55 21 24  0  0
 6  0      0 3557148  44524 2466020    0    0     0     0 4798 7524 63 14 23  0  0
 7  0      0 3556436  44524 2466024    0    0     0     0 5741 8718 62 17 21  0  0
 7  0      0 3554752  44524 2466024    0    0     0     0 5440 9685 63 15 21  0  0
 3  0      0 3554752  44532 2466024    0    0     0    28 5440 9756 66 13 20  0  0
 7  0      0 3534596  44532 2466024    0    0     0     4 5270 8305 64 14 22  0  0
 7  0      0 3581068  44532 2465992    0    0     0   368 5903 10899 57 13 30  0  0
 5  0      0 3581512  44532 2465992    0    0     0     0 5012 8778 60 12 28  0  0
 9  0      0 3581248  44532 2465992    0    0     0     0 5168 9514 61 12 27  0  0
 5  0      0 3580996  44532 2465992    0    0     0     0 4262 6824 60 12 28  0  0
 8  0      0 3581044  44540 2465992    0    0     0    96 5054 9635 59 12 28  0  0
 7  0      0 3581044  44540 2465992    0    0     0   304 4954 9440 63 13 24  0  0
 7  0      0 3580628  44540 2465996    0    0     0     0 3995 6287 57 18 25  0  0
10  0      0 3581632  44540 2465996    0    0     0     0 3551 4723 58 19 23  0  0
 5  0      0 3581884  44540 2465996    0    0     0     0 4221 6360 53 22 25  0  0
 9  0      0 3566564  44556 2466488    0    0     0   160 3515 5070 51 26 23  0  0
 8  0      0 3553244  44556 2466568    0    0    20     0 5133 7733 70 15 15  0  0
 7  0      0 3547248  44564 2466088    0    0    24   132 5664 8981 66 14 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 3545652  44564 2466096    0    0     0     0 4485 6935 59 18 23  0  0
 7  0      0 3546776  44564 2466096    0    0     0     0 5003 8481 59 13 28  0  0
 6  0      0 3547880  44564 2466096    0    0     0     0 5538 10075 59 13 28  0  0
 6  0      0 3547140  44564 2466096    0    0     0   416 5473 9187 55 15 30  0  0
 7  0      0 3547140  44572 2466088    0    0     0    88 5195 9410 57 16 26  0  0
 5  0      0 3547140  44572 2466096    0    0     0     0 5375 9258 61 12 27  0  0
 6  0      0 3546412  44572 2466096    0    0     0     0 5889 10956 59 12 29  0  0
 3  0      0 3546172  44572 2466100    0    0     0     0 5284 9502 59 12 29  0  0
 5  0      0 3546172  44572 2466104    0    0     0   312 5882 10742 57 11 32  0  0
 6  0      0 3544988  44572 2466104    0    0     0     0 4980 8788 57 16 27  0  0
 9  0      0 3543124  44580 2466104    0    0     0    56 5178 8710 60 16 24  0  0
 6  0      0 3542996  44580 2466104    0    0     0     0 5171 9339 60 12 28  0  0
 6  0      0 3546408  44580 2466104    0    0     0     0 5444 8974 59 16 26  0  0
 6  0      0 3546720  44580 2466104    0    0     4   260 5411 8953 61 15 25  0  0
 5  0      0 3553992  44588 2466116    0    0     0   140 5664 9318 60 15 25  0  0
 5  0      0 3552492  44596 2466108    0    0     0   120 3818 6081 43 12 45  0  0
 7  0      0 3553776  44612 2466120    0    0     0   128 4786 7132 55 20 25  0  0
 8  0      0 3551944  44612 2466160    0    0     0     0 5248 8486 53 18 29  0  0
 7  0      0 3551232  44612 2466160    0    0     0     0 5247 8144 57 19 25  0  0
 9  0      0 3550536  44612 2466160    0    0     0     0 5261 8428 53 18 29  0  0
 6  0      0 3550088  44612 2466160    0    0     0     0 4688 9190 61 13 26  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 3549384  44620 2466160    0    0     0   124 5231 8515 57 17 27  0  0
 8  0      0 3548572  44636 2466164    0    0     0   232 5523 8643 55 16 29  0  0
