procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 106152  49384 2924708    0    0   714  1516  259  243  4  2 87  5  3
 3  0      0 114720  49220 2908736    0    0     0     0  884 1414 40  7 10  0 43
 2  0      0 103320  49220 2908736    0    0     0     0  558  895 42  5  7  0 45
 2  0      0 103320  49220 2908744    0    0     0     4  447  404 44  5  2  0 48
 2  0      0 103320  49220 2908744    0    0     0     0  473  427 45  5  3  0 47
 2  0      0 103320  49228 2908744    0    0     0    48  483  432 44  5  1  0 49
 2  0      0 103320  49228 2908756    0    0     0     0  460  372 45  4  0  0 50
 2  0      0 103320  49228 2908760    0    0     0     0  475  431 45  4  2  0 48
 2  0      0 103320  49228 2908764    0    0     0     0  463  402 43  6  1  0 50
 2  0      0 103320  49228 2908768    0    0     0     0  446  403 46  4  0  0 50
 2  0      0 103320  49236 2908764    0    0     0    12  476  470 44  5  3  0 48
 2  1      0 103072  49236 2908776    0    0     4    36  466  408 45  5  0  0 49
 2  0      0 103072  49236 2908808    0    0    24     0  512  506 40  7 10  0 43
 2  0      0 103072  49236 2908816    0    0     0     0  444  351 44  5  2  0 49
 2  0      0 103072  49236 2908816    0    0     0     0  471  425 45  6  1  0 49
 2  0      0 103072  49244 2908824    0    0     0    12  460  385 44  5  2  0 49
 2  0      0 122996  49064 2895152    0    0     0     0  479  507 45  6  0  0 50
 2  0      0 122996  49064 2895188    0    0    28     0  467  393 46  4  2  2 48
 2  0      0 122996  49064 2895192    0    0     0     0  458  410 46  4  0  0 50
 2  0      0 122744  49064 2895196    0    0     0     0  469  388 44  6  2  0 48
 5  0      0 121512  49072 2896092    0    0   980    68  829 1784 43  7  1  1 49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 104388  49072 2899980    0    0  3804     0  851 3067 38  8  1 11 41
 3  0      0 116600  48812 2874828    0    0  1284     0  588  722 41  8  0  5 45
 2  1      0 114828  48948 2875232    0    0   584     4  583  849 41  8  1  0 50
 2  0      0 114828  48948 2875580    0    0   264     0 1059 3072 43  8  2  0 48
 1  1      0 114828  48956 2875584    0    0     0   556  488  503 36  3 18  5 38
 1  0      0 114828  48956 2875588    0    0     0     0  391  398 24  2 40  9 25
 1  0      0 113568  48956 2877916    0    0  2416     0  401  350 23  2 49  2 23
 1  0      0 119368  48956 2895880    0    0 18436     4  572  419 24  2 48  2 22
 2  0      0 118892  48956 2895972    0    0     0     8  374  397 23  3 49  0 25
 1  0      0 118892  48964 2895980    0    0     0    36  382  450 24  3 49  1 25
 1  1      0 112596  48968 2900976    0    0  5008    72  809 1151 23  6 30 14 27
 2  0      0 118084  48740 2896704    0    0 33488     0 1039  964 34  7  0 28 31
 1  0      0 116112  48704 2897296    0    0 17840   532  843 1061 31  4 22 12 31
 1  0      0 115356  48704 2897220    0    0     0     0  370  378 24  3 49  0 25
 1  0      0 106908  48712 2897228    0    0     0   432  581  326 25  3 45  3 26
 1  0      0 106908  48712 2897228    0    0     0     0  328  279 22  3 49  0 25
 1  0      0 106908  48712 2897240    0    0     0     0  333  289 23  2 50  0 25
 1  0      0 106908  48712 2897240    0    0     0     0  346  322 24  2 49  0 25
 1  0      0 106908  48712 2897248    0    0     0     0  313  262 23  3 50  0 25
 1  0      0 106684  48720 2897240    0    0     0    12  376  389 24  2 46  3 25
